semantic,metric,direction,boundary,n,mean,q25,q75,mean_clipscore_drop
shape,lpips,suffix,3,50,0.11648557567445096,0.046657171100378036,0.16518577933311462,-0.003187611103057861
shape,lpips,suffix,4,50,0.10147397568216547,0.050251951441168785,0.13645383715629578,-0.0033895909786224366
shape,lpips,suffix,5,50,0.1033851835783571,0.06169785372912884,0.13427187502384186,-0.0033536410331726075
shape,lpips,suffix,6,50,0.07652475057635456,0.04296757932752371,0.1104075014591217,-0.0016363906860351564
shape,lpips,suffix,7,50,0.0465272594243288,0.024706780910491943,0.06853667832911015,0.00022266507148742675
shape,lpips,suffix,8,50,0.02234607848804444,0.013616817072033882,0.02845623902976513,-0.0012552034854888916
shape,lpips,suffix,9,50,0.0027702084684278817,0.0011289142130408436,0.0036576590500772,6.628751754760742e-05
shape,lpips,suffix,10,50,0.0,0.0,0.0,0.0
shape,clipscore,prefix,0,50,0.867687680721283,0.8266473114490509,0.9127700477838516,0.0
shape,clipscore,prefix,1,50,0.865486923456192,0.8253426998853683,0.9042795598506927,0.0022007572650909425
shape,clipscore,prefix,2,50,0.8651091289520264,0.8247767090797424,0.9029521942138672,0.0025785517692565917
shape,clipscore,prefix,3,50,0.8674026775360107,0.8269354850053787,0.9026862680912018,0.0002850031852722168
shape,clipscore,prefix,4,50,0.8697766470909118,0.829535186290741,0.9097878932952881,-0.0020889663696289063
shape,clipscore,prefix,5,50,0.8667292392253876,0.8167091906070709,0.9053099602460861,0.0009584414958953857
shape,clipscore,prefix,6,50,0.8677188229560852,0.8228362947702408,0.9014957547187805,-3.1142234802246095e-05
shape,clipscore,prefix,7,50,0.867436842918396,0.8290076106786728,0.9059275984764099,0.00025083780288696287
shape,clipscore,prefix,8,50,0.8684022057056427,0.8266446590423584,0.9072360098361969,-0.0007145249843597412
shape,clipscore,prefix,9,50,0.8686410713195801,0.8272790014743805,0.9127848297357559,-0.0009533905982971191
shape,clipscore,prefix,10,50,0.8676622867584228,0.8281862437725067,0.9119717180728912,2.5393962860107423e-05
shape,clipscore,suffix,0,50,0.8676622867584228,0.8281862437725067,0.9119717180728912,2.5393962860107423e-05
shape,clipscore,suffix,1,50,0.8695423054695129,0.8208728134632111,0.9094336330890656,-0.0018546247482299804
shape,clipscore,suffix,2,50,0.8675562763214111,0.8302262276411057,0.907826691865921,0.00013140439987182617
shape,clipscore,suffix,3,50,0.8708752918243409,0.8333947211503983,0.9084378480911255,-0.003187611103057861
shape,clipscore,suffix,4,50,0.8710772716999053,0.8278142362833023,0.9107943326234818,-0.0033895909786224366
shape,clipscore,suffix,5,50,0.8710413217544556,0.8322799056768417,0.9109448045492172,-0.0033536410331726075
shape,clipscore,suffix,6,50,0.8693240714073182,0.82493856549263,0.9081097543239594,-0.0016363906860351564
shape,clipscore,suffix,7,50,0.8674650156497955,0.822844848036766,0.9108321964740753,0.00022266507148742675
shape,clipscore,suffix,8,50,0.8689428842067719,0.8210934102535248,0.9100651741027832,-0.0012552034854888916
shape,clipscore,suffix,9,50,0.8676213932037353,0.8241523206233978,0.9074450731277466,6.628751754760742e-05
shape,clipscore,suffix,10,50,0.867687680721283,0.8266473114490509,0.9127700477838516,0.0
texture,lpips,prefix,0,50,0.0,0.0,0.0,0.0
texture,lpips,prefix,1,50,0.12811551336897536,0.024641324765980244,0.1577226221561432,-0.0039487481117248535
texture,lpips,prefix,2,50,0.1390370763093233,0.04132180102169514,0.21202459186315536,0.0004871129989624023
texture,lpips,prefix,3,50,0.13348447320517154,0.0459922980517149,0.1995987892150879,-0.005758861303329468
texture,lpips,prefix,4,50,0.13713804845232516,0.030805999413132668,0.20856549963355064,-0.005232517719268799
texture,lpips,prefix,5,50,0.1440542059368454,0.05757637694478035,0.2186185084283352,-0.005700112581253052
texture,lpips,prefix,6,50,0.13081833431497217,0.025667378213256598,0.20590616762638092,0.0004991734027862549
