semantic,direction,boundary,n,mean,median,q25,q75,min,max,up,down,unchanged
texture,suffix,3,50,-0.0012636780738830566,-0.0004361867904663086,-0.013268634676933289,0.00908149778842926,-0.06652915477752686,0.07717263698577881,24,26,0
texture,suffix,4,50,0.0016900098323822021,0.00046309828758239746,-0.010724470019340515,0.00937129557132721,-0.07168477773666382,0.07206320762634277,27,23,0
texture,suffix,5,50,-0.0009804165363311767,0.0030916035175323486,-0.010182276368141174,0.013210639357566833,-0.07732093334197998,0.03561514616012573,28,22,0
texture,suffix,6,50,0.0027262043952941896,0.0033764541149139404,-0.006285175681114197,0.011739835143089294,-0.051387786865234375,0.05893760919570923,28,22,0
texture,suffix,7,50,0.00041511297225952146,0.001414954662322998,-0.0050048381090164185,0.009808376431465149,-0.04456043243408203,0.04087918996810913,27,23,0
texture,suffix,8,50,-0.003462367057800293,-0.004385024309158325,-0.01010805368423462,0.004086941480636597,-0.03454875946044922,0.034509479999542236,21,29,0
texture,suffix,9,50,-0.0005417609214782715,0.00023251771926879883,-0.0034451931715011597,0.002741485834121704,-0.016116976737976074,0.01969313621520996,27,22,1
texture,suffix,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
count,prefix,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
count,prefix,1,50,-0.006655483245849609,-0.006245225667953491,-0.017787054181098938,0.0051918625831604,-0.06736493110656738,0.07360637187957764,18,32,0
count,prefix,2,50,-0.0053396236896514895,-8.624792098999023e-05,-0.018347278237342834,0.012721195816993713,-0.1054195761680603,0.04202568531036377,25,25,0
count,prefix,3,50,-0.007094517946243286,-0.00392720103263855,-0.018069475889205933,0.00927095115184784,-0.11764019727706909,0.08104550838470459,18,32,0
count,prefix,4,50,-0.0070999467372894285,-0.004105657339096069,-0.023152679204940796,0.007971078157424927,-0.06467068195343018,0.08223223686218262,21,29,0
count,prefix,5,50,-0.007912912368774415,-0.004619777202606201,-0.02091650664806366,0.012010529637336731,-0.10929274559020996,0.07626223564147949,21,29,0
count,prefix,6,50,-0.005397583246231079,-0.007912606000900269,-0.024624109268188477,0.01007409393787384,-0.08665615320205688,0.10512322187423706,17,33,0
count,prefix,7,50,-0.012406831979751587,-0.005741983652114868,-0.026689544320106506,0.002155214548110962,-0.09544920921325684,0.05060744285583496,17,33,0
count,prefix,8,50,-0.01325048804283142,-0.007815331220626831,-0.03552892804145813,0.002779334783554077,-0.0923614501953125,0.09277981519699097,15,35,0
count,prefix,9,50,-0.010996299982070922,-0.009604483842849731,-0.03683595359325409,0.005896374583244324,-0.07973015308380127,0.09948140382766724,15,35,0
count,prefix,10,50,-0.01157808780670166,-0.009672880172729492,-0.03269095718860626,0.007630258798599243,-0.08095711469650269,0.09806710481643677,16,34,0
count,suffix,0,50,-0.01157808780670166,-0.009672880172729492,-0.03269095718860626,0.007630258798599243,-0.08095711469650269,0.09806710481643677,16,34,0
count,suffix,1,50,-0.008386539220809936,-0.005600184202194214,-0.02113543450832367,0.01147758960723877,-0.08077293634414673,0.06123936176300049,20,30,0
count,suffix,2,50,-0.007186421155929565,-0.0067483484745025635,-0.020368576049804688,0.007550269365310669,-0.07826781272888184,0.0480806827545166,20,30,0
count,suffix,3,50,-0.007050989866256714,-0.0017316639423370361,-0.016513317823410034,0.006265699863433838,-0.09463673830032349,0.048388659954071045,21,29,0
count,suffix,4,50,-0.012793951034545899,-0.0054427385330200195,-0.031667113304138184,0.002372249960899353,-0.095264732837677,0.028799712657928467,17,33,0
count,suffix,5,50,-0.004422892332077027,-0.006911724805831909,-0.019474506378173828,0.011003866791725159,-0.05741685628890991,0.04115492105484009,23,27,0
count,suffix,6,50,-0.008024158477783204,-0.005798697471618652,-0.01612699031829834,0.0007274746894836426,-0.06072342395782471,0.0378572940826416,15,35,0
count,suffix,7,50,0.0006484651565551758,0.0016697943210601807,-0.0073282718658447266,0.014242574572563171,-0.0545005202293396,0.03981274366378784,26,24,0
count,suffix,8,50,-0.002218447923660278,0.00014957785606384277,-0.007194086909294128,0.0048642754554748535,-0.036767005920410156,0.01745128631591797,25,24,1
count,suffix,9,50,0.0006371188163757324,0.0002873241901397705,-0.0037007927894592285,0.003666028380393982,-0.015649616718292236,0.02729588747024536,26,21,3
count,suffix,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
spatial_relation,prefix,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
spatial_relation,prefix,1,50,0.007908512353897095,0.004156380891799927,-0.00907367467880249,0.017962202429771423,-0.05437290668487549,0.09440481662750244,30,20,0
spatial_relation,prefix,2,50,0.006964013576507568,0.004263162612915039,-0.010189592838287354,0.020310178399086,-0.033387064933776855,0.07033538818359375,28,22,0
spatial_relation,prefix,3,50,0.00434063196182251,0.0036201775074005127,-0.006607875227928162,0.013142034411430359,-0.052119433879852295,0.08675539493560791,29,21,0
spatial_relation,prefix,4,50,0.00540554404258728,-0.0006642341613769531,-0.009093254804611206,0.016890019178390503,-0.08120989799499512,0.118277907371521,23,27,0
spatial_relation,prefix,5,50,0.005811548233032227,0.003213733434677124,-0.008137062191963196,0.0172453373670578,-0.04888284206390381,0.060449957847595215,29,21,0
spatial_relation,prefix,6,50,0.0035695314407348635,-0.001891404390335083,-0.013207390904426575,0.01455850899219513,-0.04666489362716675,0.0686693787574768,23,27,0
spatial_relation,prefix,7,50,-0.0006907439231872559,-0.000140458345413208,-0.021719947457313538,0.012379735708236694,-0.06478381156921387,0.08389830589294434,25,25,0
spatial_relation,prefix,8,50,0.0012943291664123536,0.006441891193389893,-0.01566500961780548,0.014054283499717712,-0.09901046752929688,0.08459746837615967,28,22,0
spatial_relation,prefix,9,50,-0.00026949048042297364,0.0025802552700042725,-0.01768718659877777,0.018430575728416443,-0.10208642482757568,0.09102106094360352,26,24,0
spatial_relation,prefix,10,50,0.0009081482887268067,0.0041291117668151855,-0.021868228912353516,0.02035704255104065,-0.1075965166091919,0.09389138221740723,27,23,0
spatial_relation,suffix,0,50,0.0009081482887268067,0.0041291117668151855,-0.021868228912353516,0.02035704255104065,-0.1075965166091919,0.09389138221740723,27,23,0
spatial_relation,suffix,1,50,0.002446439266204834,0.004308789968490601,-0.012538060545921326,0.01711142063140869,-0.06182581186294556,0.049072980880737305,30,20,0
spatial_relation,suffix,2,50,0.002172396183013916,0.00167083740234375,-0.009274020791053772,0.0148191899061203,-0.03975880146026611,0.044326722621917725,26,24,0
spatial_relation,suffix,3,50,0.003577214479446411,0.0017313361167907715,-0.015176743268966675,0.020908936858177185,-0.04174107313156128,0.055700600147247314,27,23,0
spatial_relation,suffix,4,50,0.0019330883026123047,0.001532047986984253,-0.011068388819694519,0.016104504466056824,-0.06164693832397461,0.056101083755493164,28,22,0
spatial_relation,suffix,5,50,0.0016275393962860108,0.002991199493408203,-0.013829797506332397,0.013457000255584717,-0.041737258434295654,0.08422595262527466,26,24,0
spatial_relation,suffix,6,50,0.0016905045509338378,0.00228002667427063,-0.006930172443389893,0.012156575918197632,-0.10202217102050781,0.07610267400741577,28,22,0
spatial_relation,suffix,7,50,0.00214777946472168,0.0020271241664886475,-0.0067986249923706055,0.00993463397026062,-0.045663416385650635,0.04845023155212402,27,23,0
spatial_relation,suffix,8,50,0.0002813756465911865,-0.0006970763206481934,-0.0060576945543289185,0.0049239397048950195,-0.01910686492919922,0.031044423580169678,23,27,0
spatial_relation,suffix,9,50,-0.00013822793960571289,0.000376284122467041,-0.002486109733581543,0.0024306029081344604,-0.02749568223953247,0.010223150253295898,25,23,2
spatial_relation,suffix,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
