semantic,subtype,direction,boundary,n_total,n_valid,n_errors,n_pairs,success_rate,paired_delta,gained_success_n,lost_success_n,paired_baseline_rate,uncertain_rate,missing_rate,baseline_correct_n,retention,count_mae,count_numeric_n,statuses
object,identity,prefix,5,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,prefix,6,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,identity,prefix,7,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,identity,prefix,8,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,identity,prefix,9,50,50,0,50,0.88,-0.06,0,3,0.94,0.0,0.0,47,0.9361702127659575,,0,"{""correct"": 44, ""incorrect"": 6}"
object,identity,prefix,10,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,identity,suffix,0,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,identity,suffix,1,50,50,0,50,0.86,-0.08,0,4,0.94,0.0,0.0,47,0.9148936170212766,,0,"{""correct"": 43, ""incorrect"": 7}"
object,identity,suffix,2,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,suffix,3,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,identity,suffix,4,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,identity,suffix,5,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,identity,suffix,6,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,suffix,7,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,suffix,8,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,suffix,9,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,identity,suffix,10,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
shape,all,prefix,0,50,50,0,50,0.38,0.0,0,0,0.38,0.0,0.22,19,1.0,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
shape,all,prefix,1,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.24,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 19, ""missing"": 12}"
shape,all,prefix,2,50,50,0,50,0.36,-0.02,1,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 18, ""incorrect"": 18, ""missing"": 13}"
shape,all,prefix,3,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.24,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 19, ""missing"": 12}"
shape,all,prefix,4,50,50,0,50,0.38,0.0,1,1,0.38,0.02,0.24,19,0.9473684210526315,,0,"{""ambiguous"": 1, ""correct"": 19, ""incorrect"": 18, ""missing"": 12}"
shape,all,prefix,5,50,50,0,50,0.36,-0.02,1,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 18, ""incorrect"": 18, ""missing"": 13}"
shape,all,prefix,6,50,50,0,50,0.4,0.02,2,1,0.38,0.0,0.22,19,0.9473684210526315,,0,"{""correct"": 20, ""incorrect"": 19, ""missing"": 11}"
shape,all,prefix,7,50,50,0,50,0.36,-0.02,1,2,0.38,0.02,0.22,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 18, ""incorrect"": 20, ""missing"": 11}"
shape,all,prefix,8,50,50,0,50,0.34,-0.04,0,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 17, ""incorrect"": 19, ""missing"": 13}"
shape,all,prefix,9,50,50,0,50,0.34,-0.04,0,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 17, ""incorrect"": 19, ""missing"": 13}"
shape,all,prefix,10,50,50,0,50,0.36,-0.02,1,2,0.38,0.0,0.24,19,0.8947368421052632,,0,"{""correct"": 18, ""incorrect"": 20, ""missing"": 12}"
shape,all,suffix,0,50,50,0,50,0.36,-0.02,1,2,0.38,0.0,0.24,19,0.8947368421052632,,0,"{""correct"": 18, ""incorrect"": 20, ""missing"": 12}"
shape,all,suffix,1,50,50,0,50,0.34,-0.04,1,3,0.38,0.02,0.28,19,0.8421052631578947,,0,"{""ambiguous"": 1, ""correct"": 17, ""incorrect"": 18, ""missing"": 14}"
shape,all,suffix,2,50,50,0,50,0.36,-0.02,2,3,0.38,0.0,0.22,19,0.8421052631578947,,0,"{""correct"": 18, ""incorrect"": 21, ""missing"": 11}"
shape,all,suffix,3,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.22,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
